课程名称	课程时间	课程目标	课程价格	课程配额	课程链接	教师名称	教师链接
【目标985班】高三物理春季系统班（周六19:00）	3月2日-6月1日 · 19:00-21:00	适合高三 | 全国地区通用	499	1011人报名  限报2000人	https://www.yuanfudao.com/lessons/3079034.html	王远	https://www.yuanfudao.com/teachers/60897660/lesson?lessonId=3079034
【英语校内卓越班】五年级英语寒假系统1班	2月10日-2月17日	适合五年级 | 全国地区通用	700	32人报名	https://www.yuanfudao.com/lessons/3081450.html	吴霜 皮文霞	https://www.yuanfudao.com/teachers/134659076/lesson?lessonId=3081450
高二数学寒假系统班（寒2期19:00）	1月27日-2月3日 · 19:00－21:00	适合高二 | 全国地区通用	249	1000人报名	https://www.yuanfudao.com/lessons/3079888.html	胡杰	https://www.yuanfudao.com/teachers/5520747/lesson?lessonId=3079888
四年级猿编程L1系统班 第12期（周三晚）	4月24日-7月24日	适合四年级 | 全国地区通用	1999	已报满或无信息	https://www.yuanfudao.com/lessons/3080584.html	待分配	https://www.yuanfudao.com/teachers/132638972/lesson?lessonId=3080584
【目标优等班】初三化学春季系统班（周六09:00）	3月2日-6月8日 · 早09:00-11:30	适合九年级 | 全国地区通用	999	119人报名  每30人分小班	https://www.yuanfudao.com/lessons/3079332.html	刘旭	https://www.yuanfudao.com/teachers/33812137/lesson?lessonId=3079332
高三历史春季系统班（周五21:30）	3月1日-5月31日 · 21:30-23:30	适合高三 | 全国地区通用	499	156人报名  限报2000人	https://www.yuanfudao.com/lessons/3079800.html	唐浩	https://www.yuanfudao.com/teachers/119822784/lesson?lessonId=3079800
【目标卓越班】初二数学春季系统班（周日09:00）	3月3日-6月23日 · 早09:00-11:30	适合八年级 | 全国地区通用	999	712人报名  每30人分小班	https://www.yuanfudao.com/lessons/3081436.html	洪洋	https://www.yuanfudao.com/teachers/36903981/lesson?lessonId=3081436
【英语能力强化班】二年级英语春季系统4班	3月7日-6月15日	适合二年级 | 全国地区通用	1650	27人报名  限报34人	https://www.yuanfudao.com/lessons/3081648.html	侯越 汪勤	https://www.yuanfudao.com/teachers/107869758/lesson?lessonId=3081648
【目标985班】高二物理春季系统班（周日09:00）	3月3日-6月16日 · 早09:00-11:00	适合高二 | 全国地区通用	499	1572人报名  限报2000人	https://www.yuanfudao.com/lessons/3079140.html	王浩	https://www.yuanfudao.com/teachers/23722879/lesson?lessonId=3079140
【技巧课】4次课掌握小说核心知识点	高三 · 1月12日-1月27日 · 55分钟/次 · 4次课	适合高三 | 全国地区通用	25	836人报名	https://www.yuanfudao.com/lessons/3095796.html	宋大成	https://www.yuanfudao.com/teachers/60686496/lesson?lessonId=3095796
【目标卓越班】初一数学寒假系统班（寒3期18:10 ）	2月16日-2月23日 · 18:10-20:30	适合七年级 | 全国地区通用	99	944人报名  每50人分小班	https://www.yuanfudao.com/lessons/3095380.html	贺琦	https://www.yuanfudao.com/teachers/156871122/lesson?lessonId=3095380
【英语能力发展班】五年级英语寒假系统6班	1月26日-2月2日	适合五年级 | 全国地区通用	700	33人报名	https://www.yuanfudao.com/lessons/3083290.html	李政 孔辰	https://www.yuanfudao.com/teachers/116309724/lesson?lessonId=3083290
【目标一本班】高一物理寒假系统班（课改版·寒3期09:00）	2月16日-2月23日 · 早09:00-11:25	适合高一 | 全国地区通用	399	347人报名  每60人分小班	https://www.yuanfudao.com/lessons/3079984.html	梁冰	https://www.yuanfudao.com/teachers/56696200/lesson?lessonId=3079984
高二语文春季系统班（周六19:00）	3月2日-6月15日 · 19:00-21:00	适合高二 | 全国地区通用	499	615人报名  限报2000人	https://www.yuanfudao.com/lessons/3080326.html	王伟	https://www.yuanfudao.com/teachers/57672584/lesson?lessonId=3080326
【目标一本班】高二生物春季系统班（周五21:30）	3月1日-6月14日 · 21:30-23:30	适合高二 | 全国地区通用	499	156人报名  限报2000人	https://www.yuanfudao.com/lessons/3079794.html	李秀楠	https://www.yuanfudao.com/teachers/49091395/lesson?lessonId=3079794
